5.12  1.202e-28  0.71    -0.97 
5.12  1.318e-28  0.76    -1.04 
5.12  1.445e-28  0.80    -1.16 
5.12  1.585e-28  0.86    -1.31 
5.12  1.738e-28  0.92    -1.46 
5.12  1.905e-28  0.99    -1.68 
5.12  2.089e-28  1.07    -1.89 
5.12  2.291e-28  1.15    -2.09 
5.12  2.512e-28  1.24    -2.28 
5.12  2.754e-28  1.35    -2.46 
5.12  3.020e-28  1.46    -2.63 
5.12  3.311e-28  1.58    -2.79 
5.12  3.631e-28  1.73    -2.92 
5.12  3.981e-28  1.89    -3.04 
5.12  4.365e-28  2.06    -3.15 
5.12  4.786e-28  2.27    -3.24 
5.12  5.248e-28  2.50    -3.31 
5.12  5.754e-28  2.75    -3.36 
5.12  6.310e-28  3.04    -3.41 
5.12  6.918e-28  3.37    -3.44 
5.12  7.586e-28  3.74    -3.46 
5.12  8.318e-28  4.17    -3.47 
5.12  9.120e-28  4.66    -3.47 
5.12  1.000e-27  5.22    -3.44 
5.12  1.096e-27  5.88    -3.38 
5.12  1.202e-27  6.62    -3.30 
5.12  1.318e-27  7.50    -3.19 
5.12  1.445e-27  8.51    -3.05 
5.12  1.585e-27  9.66    -2.88 
5.12  1.738e-27  11.02    -2.68 
5.12  1.905e-27  12.57    -2.45 
5.12  2.089e-27  14.40    -2.20 
5.12  2.291e-27  16.53    -1.91 
5.12  2.512e-27  19.02    -1.58 
5.12  2.754e-27  21.91    -1.21 
5.12  3.020e-27  24.88    -0.79 
5.12  3.311e-27  28.20    -0.31 
5.12  3.631e-27  31.86    0.21 
5.12  3.981e-27  35.78    0.79 
5.12  4.365e-27  40.29    1.42 
5.12  4.786e-27  45.28    2.11 
5.12  5.248e-27  50.84    2.85 
5.12  5.754e-27  57.06    3.67 
5.12  6.310e-27  63.87    4.57 
5.12  6.918e-27  71.65    5.53 
5.12  7.586e-27  80.38    6.57 
5.12  8.318e-27  89.57    7.68 
5.12  9.120e-27  99.61    8.88 
5.12  1.000e-26  110.52    10.18 
